Časová značka,Jaký je váš věk?,Pohlaví:,Ve kterém městě žijete?,Jaké je vaše nejvyšší dosažené vzdělání?,Před kolika lety jste dosáhli svého nejvyššího vzdělání?,Pracujete momentálně?,Zvažujete další vzdělávání nebo osobní rozvoj v následujících 12 měsících?,Kdy jste naposledy absolvovali nějaký kurz nebo vzdělávací program?,Jak často využíváte online platformy pro vzdělávání nebo osobní rozvoj?,"Jaký typ kurzů vás nejvíce zajímá? (vyberte všechny, které se vás týkají)",Jaký je váš hlavní důvod pro další vzdělávání nebo osobní rozvoj?,Kolik času týdně jste ochotni věnovat online kurzům nebo vzdělávání?,"Jaké faktory vás nejvíce ovlivňují při výběru online kurzu nebo vzdělávací platformy? (vyberte všechny, které se vás týkají)",Jaký typ zakončení kurzu preferujete?,Kde obvykle hledáte informace o online kurzech?,Jaká cenová úroveň za kurz je pro vás přijatelná?,"Uveďte kurz, který jste absolvovali naposledy a jak jste se o něm dozvěděli: (Nepovinná otázka, volná odpověď)",Jak důležitá je pro vás při výběru kurzu ekologická udržitelnost platformy nebo značky?,"Sledujete trendy v oblasti nových technologií, jako je umělá inteligence nebo blockchain?"
26.10.2024 23:00:08,25–34 let,Muž,Praha,Střední škola s maturitou,6–10 let,Vlastním firmu,Ne,Nikdy jsem neabsolvoval žádný kurz,Několikrát týdně,"Odborné dovednosti (programování, marketing), Osobní rozvoj (time management, sebeřízení), Kreativní dovednosti (fotografie, design)","Chci zlepšit svůj osobní život (např. time management, sebeřízení)",2–5 hodin,Kvalita a hodnocení kurzu,Certifikát / Diplom,"Na sociálních sítích (Facebook, Instagram, LinkedIn)",500–1 000 Kč,,Neutrální,"Ano, velmi se zajímám"
26.10.2024 23:04:58,35–44 let,Muž,Brno,Střední škola s maturitou,Více než 10 let,"Ne, momentálně nepracuji",Možná,Nikdy jsem neabsolvoval žádný kurz,Nikdy,"Odborné dovednosti (programování, marketing), Jazyky, Zdraví a wellness","Zájem o osobní rozvoj, ale nemám konkrétní cíl",2–5 hodin,"Kvalita a hodnocení kurzu, Flexibilita a dostupnost (možnost studovat kdykoli)",Osvědčení o kvalifikaci,"Na webových stránkách (blogy, recenze)",1 000–3 000 Kč,,Spíše důležitá,"Ne, ale chtěl/a bych se o tom dozvědět více"
26.10.2024 23:07:40,35–44 let,Žena,Jičín,Střední škola s maturitou,Více než 10 let,"Ano, na částečný úvazek",Možná,Před více než 2 lety,Méně než jednou měsíčně,"Jazyky, Osobní rozvoj (time management, sebeřízení), Zdraví a wellness","Chci zlepšit svůj osobní život (např. time management, sebeřízení)",2–5 hodin,"Cena, Kvalita a hodnocení kurzu, Doporučení od známých nebo kolegů, Flexibilita a dostupnost (možnost studovat kdykoli)",Osvědčení o kvalifikaci,Doporučení od známých,1 000–3 000 Kč,"Kurz jógy pro děti (už je to spousty let a bylo tak nějak povinné, nějakou chvilku jsem učila v MŠ totiž)",Neutrální,"Ano, občas sleduji novinky"
26.10.2024 23:14:40,35–44 let,Žena,Praha,Střední škola s maturitou,Více než 10 let,"Ne, hledám práci",Možná,Před více než 2 lety,Denně,"Osobní rozvoj (time management, sebeřízení), Zdraví a wellness","Zájem o osobní rozvoj, ale nemám konkrétní cíl",2–5 hodin,"Cena, Kvalita a hodnocení kurzu, Doporučení od známých nebo kolegů, Flexibilita a dostupnost (možnost studovat kdykoli)",Osvědčení o kvalifikaci,"Na sociálních sítích (Facebook, Instagram, LinkedIn)",Více než 3 000 Kč,,Neutrální,"Ano, občas sleduji novinky"
26.10.2024 23:22:03,35–44 let,Žena,Praha ,Střední škola s maturitou,Více než 10 let,"Ano, na plný úvazek",Možná,Nikdy jsem neabsolvoval žádný kurz,Několikrát měsíčně,"Kariérní rozvoj (soft skills, leadership), Odborné dovednosti (programování, marketing), Jazyky, Kreativní dovednosti (fotografie, design)",Chci změnit obor nebo kariéru,5–10 hodin,"Cena, Kvalita a hodnocení kurzu, Flexibilita a dostupnost (možnost studovat kdykoli)",Osvědčení o kvalifikaci,"Na sociálních sítích (Facebook, Instagram, LinkedIn)",1 000–3 000 Kč,,Neutrální,"Ano, občas sleduji novinky"
26.10.2024 23:26:35,35–44 let,Žena,Praha,Vysokoškolské vzdělání,Více než 10 let,Jsem živnostník,Ano,V posledních 6 měsících,Několikrát měsíčně,"Osobní rozvoj (time management, sebeřízení), Kreativní dovednosti (fotografie, design)","Chci zlepšit svůj osobní život (např. time management, sebeřízení)",2–5 hodin,"Cena, Kvalita a hodnocení kurzu, Flexibilita a dostupnost (možnost studovat kdykoli)",Certifikát / Diplom,"Na webových stránkách (blogy, recenze)",Více než 3 000 Kč,,Neutrální,"Ano, velmi se zajímám"
26.10.2024 23:26:48,35–44 let,Žena,Praha,Střední škola s maturitou,Více než 10 let,"Ano, na částečný úvazek",Ne,V posledních 1–2 letech,Méně než jednou měsíčně,"Kariérní rozvoj (soft skills, leadership), Odborné dovednosti (programování, marketing), Jazyky, Osobní rozvoj (time management, sebeřízení), Zdraví a wellness","Chci zlepšit svůj osobní život (např. time management, sebeřízení)",2–5 hodin,"Kvalita a hodnocení kurzu, Flexibilita a dostupnost (možnost studovat kdykoli)",Je mi to jedno ,"Na webových stránkách (blogy, recenze)",Více než 3 000 Kč,,Spíše nedůležitá,"Ano, občas sleduji novinky"
26.10.2024 23:28:25,25–34 let,Žena,Praha,Střední škola s maturitou,Více než 10 let,Jsem živnostník,Možná,V posledních 6 měsících,Několikrát měsíčně,"Odborné dovednosti (programování, marketing), Jazyky, Osobní rozvoj (time management, sebeřízení), Zdraví a wellness",Chci získat nové dovednosti pro kariérní růst,2–5 hodin,"Cena, Kvalita a hodnocení kurzu",Osvědčení o profesní rekvalifikaci,"Na webových stránkách (blogy, recenze)",500–1 000 Kč,První pomoc resuscitace,Neutrální,"Ne, ale chtěl/a bych se o tom dozvědět více"
27.10.2024 0:23:08,35–44 let,Žena,Kunice,Vysokoškolské vzdělání,Více než 10 let,"Ano, na částečný úvazek",Ne,Před více než 2 lety,Méně než jednou měsíčně,detska psychologie a vyvoj deti,"Chci zlepšit svůj osobní život (např. time management, sebeřízení)",Méně než 2 hodiny,Doporučení od známých nebo kolegů,Certifikát / Diplom,"Na sociálních sítích (Facebook, Instagram, LinkedIn)",1 000–3 000 Kč,Nevychova,Neutrální,"Ano, občas sleduji novinky"
27.10.2024 1:39:59,18–24 let,Žena,Brno,Střední škola s maturitou,2–5 let,Jsem živnostník,Ne,Nikdy jsem neabsolvoval žádný kurz,Nikdy,"Jazyky, Osobní rozvoj (time management, sebeřízení)","Zájem o osobní rozvoj, ale nemám konkrétní cíl",2–5 hodin,Cena,Certifikát / Diplom,"Na webových stránkách (blogy, recenze)",Do 500 Kč,,Vůbec nedůležitá,Nezajímám se o to
27.10.2024 6:12:31,35–44 let,Žena,Praha,Střední škola s maturitou,Více než 10 let,Jsem živnostník,Ano,V posledních 6 měsících,Denně,"Odborné dovednosti (programování, marketing), Jazyky, Zdraví a wellness, Kreativní dovednosti (fotografie, design)",Chci změnit obor nebo kariéru,Více než 10 hodin,"Cena, Obsah kurzu (široký výběr témat)",Osvědčení o kvalifikaci,"Na webových stránkách (blogy, recenze)",Více než 3 000 Kč,"Software teste, reklam",Spíše nedůležitá,"Ano, občas sleduji novinky"
27.10.2024 6:22:09,35–44 let,Žena,Výprachtice ,Střední škola bez maturity,Více než 10 let,"Ne, hledám práci",Ano,V posledních 1–2 letech,Denně,"Osobní rozvoj (time management, sebeřízení)","Zájem o osobní rozvoj, ale nemám konkrétní cíl",2–5 hodin,Doporučení od známých nebo kolegů,Osvědčení o profesní rekvalifikaci,"Na sociálních sítích (Facebook, Instagram, LinkedIn)",500–1 000 Kč,"Etopedie, od kolegů z práce ",Neutrální,"Ne, ale chtěl/a bych se o tom dozvědět více"
27.10.2024 6:59:53,45 let a více,Muž,praha,Vysokoškolské vzdělání,Více než 10 let,Jsem živnostník,Možná,V posledních 6 měsících,Méně než jednou měsíčně,"Kariérní rozvoj (soft skills, leadership), Odborné dovednosti (programování, marketing), Osobní rozvoj (time management, sebeřízení), Zdraví a wellness, Kreativní dovednosti (fotografie, design)","Zájem o osobní rozvoj, ale nemám konkrétní cíl",2–5 hodin,"Cena, Kvalita a hodnocení kurzu, Doporučení od známých nebo kolegů, Obsah kurzu (široký výběr témat), Flexibilita a dostupnost (možnost studovat kdykoli)",Osvědčení o kvalifikaci,"Na webových stránkách (blogy, recenze)",1 000–3 000 Kč,,Spíše důležitá,"Ano, občas sleduji novinky"
27.10.2024 7:09:58,25–34 let,Žena,Praha,Střední škola bez maturity,6–10 let,"Ano, na částečný úvazek",Ano,V posledních 1–2 letech,Několikrát týdně,"Kreativní dovednosti (fotografie, design)",Chci změnit obor nebo kariéru,2–5 hodin,Doporučení od známých nebo kolegů,Osvědčení o kvalifikaci,Doporučení od známých,Více než 3 000 Kč,Poradenství- 2 roky. 50 tisic,Neutrální,"Ne, ale chtěl/a bych se o tom dozvědět více"
27.10.2024 8:18:28,35–44 let,Žena,Praha,Střední škola s maturitou,Více než 10 let,"Ano, na plný úvazek",Ano,Před více než 2 lety,Několikrát týdně,"Kariérní rozvoj (soft skills, leadership), Jazyky, Osobní rozvoj (time management, sebeřízení)","Chci zlepšit svůj osobní život (např. time management, sebeřízení)",5–10 hodin,"Kvalita a hodnocení kurzu, Doporučení od známých nebo kolegů, Flexibilita a dostupnost (možnost studovat kdykoli)",Osvědčení o kvalifikaci,"Na webových stránkách (blogy, recenze)",Více než 3 000 Kč,"Práce zdr. sestry v transfuzní medicíně - kurz, který mi byl nabídnut zaměstnavatelem ",Spíše důležitá,Nezajímám se o to
27.10.2024 9:01:10,25–34 let,Žena,Praha ,Střední škola s maturitou,Více než 10 let,"Ne, momentálně nepracuji",Ano,Před více než 2 lety,Méně než jednou měsíčně,"Kariérní rozvoj (soft skills, leadership), Odborné dovednosti (programování, marketing), Jazyky",Chci změnit obor nebo kariéru,2–5 hodin,"Cena, Kvalita a hodnocení kurzu, Obsah kurzu (široký výběr témat), Flexibilita a dostupnost (možnost studovat kdykoli)",Osvědčení o kvalifikaci,"Na webových stránkách (blogy, recenze)",Více než 3 000 Kč,,Vůbec nedůležitá,"Ne, ale chtěl/a bych se o tom dozvědět více"
27.10.2024 9:13:54,45 let a více,Žena,Praha,Střední škola s maturitou,Více než 10 let,"Ne, momentálně nepracuji",Možná,Před více než 2 lety,Méně než jednou měsíčně,"Osobní rozvoj (time management, sebeřízení)","Zájem o osobní rozvoj, ale nemám konkrétní cíl",2–5 hodin,Flexibilita a dostupnost (možnost studovat kdykoli),Osvědčení o kvalifikaci,Doporučení od známých,1 000–3 000 Kč,,Velmi důležitá,Nezajímám se o to
27.10.2024 9:44:56,45 let a více,Žena,Praha,Střední škola s maturitou,Více než 10 let,"Ne, momentálně nepracuji",Ano,Nikdy jsem neabsolvoval žádný kurz,Nikdy,"Kreativní dovednosti (fotografie, design)","Zájem o osobní rozvoj, ale nemám konkrétní cíl",2–5 hodin,Doporučení od známých nebo kolegů,Certifikát / Diplom,"Na sociálních sítích (Facebook, Instagram, LinkedIn)",1 000–3 000 Kč,,Velmi důležitá,"Ano, velmi se zajímám"
27.10.2024 10:45:20,35–44 let,Žena,Vrchotovy Janovice ,Střední škola bez maturity,Více než 10 let,"Ano, na plný úvazek",Ne,Před více než 2 lety,Několikrát týdně,,Chci získat nové dovednosti pro kariérní růst,5–10 hodin,"Cena, Kvalita a hodnocení kurzu, Flexibilita a dostupnost (možnost studovat kdykoli)",Osvědčení o profesní rekvalifikaci,"Na webových stránkách (blogy, recenze)",500–1 000 Kč,"Maserský, z letáku. ",Vůbec nedůležitá,Nezajímám se o to
27.10.2024 13:23:13,35–44 let,Muž,Praha,Střední škola s maturitou,Více než 10 let,Vlastním firmu,Možná,Před více než 2 lety,Méně než jednou měsíčně,"Kariérní rozvoj (soft skills, leadership), Odborné dovednosti (programování, marketing), Jazyky, Osobní rozvoj (time management, sebeřízení), Zdraví a wellness","Chci zlepšit svůj osobní život (např. time management, sebeřízení)",Méně než 2 hodiny,"Cena, Kvalita a hodnocení kurzu, Doporučení od známých nebo kolegů, Obsah kurzu (široký výběr témat), Flexibilita a dostupnost (možnost studovat kdykoli), Značka nebo reputace platformy",Certifikát / Diplom,"Na sociálních sítích (Facebook, Instagram, LinkedIn)",1 000–3 000 Kč,,Velmi důležitá,"Ano, velmi se zajímám"
27.10.2024 14:50:12,25–34 let,Žena,Praha,Střední škola s maturitou,6–10 let,Jsem živnostník,Možná,V posledních 1–2 letech,Několikrát týdně,"Zdraví a wellness, Kreativní dovednosti (fotografie, design)",Chci získat nové dovednosti pro kariérní růst,2–5 hodin,Obsah kurzu (široký výběr témat),Osvědčení o kvalifikaci,"Na webových stránkách (blogy, recenze)",Více než 3 000 Kč,,Vůbec nedůležitá,"Ano, občas sleduji novinky"
27.10.2024 21:08:35,35–44 let,Žena,Černošice ,Střední škola bez maturity,Více než 10 let,"Ano, na plný úvazek",Ano,V posledních 6 měsících,Několikrát měsíčně,"Jazyky, Osobní rozvoj (time management, sebeřízení)","Chci zlepšit svůj osobní život (např. time management, sebeřízení)",2–5 hodin,Obsah kurzu (široký výběr témat),Osvědčení o profesní rekvalifikaci,"Na webových stránkách (blogy, recenze)",1 000–3 000 Kč,,Neutrální,"Ne, ale chtěl/a bych se o tom dozvědět více"
27.10.2024 21:13:22,35–44 let,Žena,Chrudim ,Střední škola bez maturity,Více než 10 let,"Ano, na plný úvazek",Ano,V posledních 6 měsících,Nikdy,Zdraví a wellness,Chci získat nové dovednosti pro kariérní růst,2–5 hodin,Flexibilita a dostupnost (možnost studovat kdykoli),Osvědčení o kvalifikaci,"Na sociálních sítích (Facebook, Instagram, LinkedIn)",500–1 000 Kč,,Spíše důležitá,"Ne, ale chtěl/a bych se o tom dozvědět více"
27.10.2024 22:04:31,35–44 let,Muž,Praha,Střední škola bez maturity,Více než 10 let,"Ano, na plný úvazek",Ano,Před více než 2 lety,Méně než jednou měsíčně,"Osobní rozvoj (time management, sebeřízení), Zdraví a wellness","Zájem o osobní rozvoj, ale nemám konkrétní cíl",2–5 hodin,Cena,Osvědčení o kvalifikaci,"Na sociálních sítích (Facebook, Instagram, LinkedIn)",1 000–3 000 Kč,,Spíše důležitá,"Ne, ale chtěl/a bych se o tom dozvědět více"
28.10.2024 6:47:55,25–34 let,Žena,Praha,Střední škola s maturitou,2–5 let,"Ne, momentálně nepracuji",Možná,V posledních 1–2 letech,Několikrát měsíčně,Jazyky,Chci změnit obor nebo kariéru,2–5 hodin,Flexibilita a dostupnost (možnost studovat kdykoli),Certifikát / Diplom,V emailových newsletterech nebo zpravodajích,500–1 000 Kč,,Neutrální,Nezajímám se o to
28.10.2024 10:47:58,18–24 let,Žena,Pelhřimov,Střední škola bez maturity,Méně než před 2 lety,"Ne, momentálně nepracuji",Ano,V posledních 6 měsících,Méně než jednou měsíčně,"Kosmetika, aktivně docházím a platím majlanty za kurzy. K tomu studuji :)",Chci získat nové dovednosti pro kariérní růst,5–10 hodin,"Kvalita a hodnocení kurzu, Obsah kurzu (široký výběr témat), Značka nebo reputace platformy",Osvědčení o kvalifikaci,"Na webových stránkách (blogy, recenze)",Více než 3 000 Kč,26.10. Kurz prodlužování řas. Z internetu,Spíše důležitá,"Ano, občas sleduji novinky"
30.10.2024 22:40:47,35–44 let,Žena,Brno,Vyšší odborné vzdělání,Více než 10 let,Jsem živnostník,Ano,V posledních 6 měsících,Méně než jednou měsíčně,"Kariérní rozvoj (soft skills, leadership), Odborné dovednosti (programování, marketing), Jazyky, Zdraví a wellness",Chci získat nové dovednosti pro kariérní růst,2–5 hodin,"Kvalita a hodnocení kurzu, Doporučení od známých nebo kolegů, Flexibilita a dostupnost (možnost studovat kdykoli)",Certifikát / Diplom,"Na sociálních sítích (Facebook, Instagram, LinkedIn)",1 000–3 000 Kč,Kurz pedikúra ,Spíše důležitá,"Ne, ale chtěl/a bych se o tom dozvědět více"
31.10.2024 21:11:12,35–44 let,Muž,Rychnov nad Kněžnou,Střední škola bez maturity,Více než 10 let,"Ano, na plný úvazek",Ano,V posledních 6 měsících,Několikrát měsíčně,"Kariérní rozvoj (soft skills, leadership), Odborné dovednosti (programování, marketing)",Chci změnit obor nebo kariéru,2–5 hodin,"Kvalita a hodnocení kurzu, Doporučení od známých nebo kolegů, Flexibilita a dostupnost (možnost studovat kdykoli)",Certifikát / Diplom,"Na webových stránkách (blogy, recenze)",Více než 3 000 Kč,Kurz efektivního učení. V rámci studia,Vůbec nedůležitá,"Ano, velmi se zajímám"
1.11.2024 11:36:37,35–44 let,Žena,Pardubice,Střední škola bez maturity,Více než 10 let,Jsem živnostník,Ano,Nikdy jsem neabsolvoval žádný kurz,Několikrát týdně,"Kariérní rozvoj (soft skills, leadership), Odborné dovednosti (programování, marketing), Jazyky",Chci získat nové dovednosti pro kariérní růst,Více než 10 hodin,"Doporučení od známých nebo kolegů, Flexibilita a dostupnost (možnost studovat kdykoli)",Osvědčení o kvalifikaci,"Na webových stránkách (blogy, recenze)",500–1 000 Kč,,Neutrální,"Ano, občas sleduji novinky"
3.11.2024 9:09:16,35–44 let,Žena,Praha,Střední škola bez maturity,6–10 let,"Ano, na částečný úvazek",Ano,V posledních 1–2 letech,Několikrát měsíčně,"Kariérní rozvoj (soft skills, leadership)",Chci změnit obor nebo kariéru,2–5 hodin,Kvalita a hodnocení kurzu,Osvědčení o kvalifikaci,"Na webových stránkách (blogy, recenze)",1 000–3 000 Kč,,Neutrální,"Ne, ale chtěl/a bych se o tom dozvědět více"
3.11.2024 23:41:05,35–44 let,Žena,Praha ,Střední škola bez maturity,Více než 10 let,"Ano, na plný úvazek",Ne,V posledních 1–2 letech,Několikrát týdně,Zdraví a wellness,Chci získat nové dovednosti pro kariérní růst,2–5 hodin,"Cena, Kvalita a hodnocení kurzu, Flexibilita a dostupnost (možnost studovat kdykoli)",Osvědčení o profesní rekvalifikaci,"Na webových stránkách (blogy, recenze)",Více než 3 000 Kč,Sanitářský kurz. Našla jsem si ho sama na internetu. ,Spíše důležitá,Nezajímám se o to
7.11.2024 11:24:30,35–44 let,Muž,Roztoky,Střední škola s maturitou,Více než 10 let,Vlastním firmu,Možná,V posledních 6 měsících,Méně než jednou měsíčně,"Kariérní rozvoj (soft skills, leadership), Jazyky, yachting","Zájem o osobní rozvoj, ale nemám konkrétní cíl",2–5 hodin,"Cena, Kvalita a hodnocení kurzu, Flexibilita a dostupnost (možnost studovat kdykoli)",Certifikát / Diplom,"Na webových stránkách (blogy, recenze)",1 000–3 000 Kč,kurz na vysílačku SRC,Neutrální,"Ano, občas sleduji novinky"
19.11.2024 22:04:52,35–44 let,Žena,Praha ,Střední škola s maturitou,Více než 10 let,"Ano, na plný úvazek",Ano,Nikdy jsem neabsolvoval žádný kurz,Nikdy,"Odborné dovednosti (programování, marketing), Jazyky, Osobní rozvoj (time management, sebeřízení), Kreativní dovednosti (fotografie, design)",Chci změnit obor nebo kariéru,2–5 hodin,"Cena, Kvalita a hodnocení kurzu, Obsah kurzu (široký výběr témat), Flexibilita a dostupnost (možnost studovat kdykoli)",Osvědčení o kvalifikaci,"Na webových stránkách (blogy, recenze)",1 000–3 000 Kč,,Neutrální,"Ano, občas sleduji novinky"
19.11.2024 22:27:10,45 let a více,Muž,Žižkov ,Střední škola s maturitou,Více než 10 let,Jsem živnostník,Možná,Před více než 2 lety,Méně než jednou měsíčně,"Odborné dovednosti (programování, marketing), Kreativní dovednosti (fotografie, design)",Chci získat nové dovednosti pro kariérní růst,2–5 hodin,"Kvalita a hodnocení kurzu, Flexibilita a dostupnost (možnost studovat kdykoli)",Osvědčení o profesní rekvalifikaci,"Na sociálních sítích (Facebook, Instagram, LinkedIn)",1 000–3 000 Kč,,Neutrální,"Ne, ale chtěl/a bych se o tom dozvědět více"
20.11.2024 6:08:15,35–44 let,Žena,Český Brod ,Střední škola bez maturity,,"Ano, na částečný úvazek",Ano,V posledních 1–2 letech,Méně než jednou měsíčně,"Odborné dovednosti (programování, marketing), Jazyky, Pedagogické studium",Chci získat nové dovednosti pro kariérní růst,2–5 hodin,Flexibilita a dostupnost (možnost studovat kdykoli),Certifikát / Diplom,Doporučení od známých,Více než 3 000 Kč,Kurz osobního asistenta ,Neutrální,"Ano, občas sleduji novinky"
20.11.2024 6:16:00,35–44 let,Muž,Stehelčeves,Střední škola s maturitou,Více než 10 let,"Ano, na plný úvazek",Ne,V posledních 6 měsících,Méně než jednou měsíčně,"Kariérní rozvoj (soft skills, leadership), Zdraví a wellness, Kreativní dovednosti (fotografie, design)","Zájem o osobní rozvoj, ale nemám konkrétní cíl",Méně než 2 hodiny,"Cena, Flexibilita a dostupnost (možnost studovat kdykoli)",Certifikát / Diplom,V emailových newsletterech nebo zpravodajích,1 000–3 000 Kč,ITIL4.0 v zamestnani,Spíše důležitá,"Ano, občas sleduji novinky"
